id,Company Name,Date,Text
0,ADTRAN INC,18 October 1994,ADTRAN Inc. reports third quarter and nine-month results
1,ADTRAN INC,19 October 1994,Governor announces ADTRAN expansion
2,ADTRAN INC,8 November 1994,ADTRAN Unveils ISDN Service Unit Perfect for Work-at-Home Applications
3,ADTRAN INC,10 November 1994,ADTRAN announces Rackmount ISDN Service Unit at COMDEX
4,ADTRAN INC,10 November 1994,ADTRAN demos new ISDN service unit perfect for work-at-home applications at COMDEX
5,ADTRAN INC,18 January 1995,"ADTRAN Inc. reports fourth quarter and year ending Dec. 31, 1994, results"
6,ADTRAN INC,19 January 1995,"ADTRAN to unveil ISDN Service Unit, creating up to 512 kbps of Bandwidth, at ComNet, Unit is ComNet Achievement Award Finalist"
7,ADTRAN INC,20 January 1995,ADTRAN to unveil new application modules for T1 service units at ComNet
8,ADTRAN INC,20 January 1995,New T1 DSU/CSU with HDSL Network Interface to be Announced by ADTRAN at ComNet
9,ADTRAN INC,20 March 1995,"ADTRAN Introduces Repeaterless ISDN Extension Technology Allowing Increased Availability of ISDN, New Products to be Announced at SUPERCOMM"
10,ADTRAN INC,20 March 1995,"ADTRAN Offers New Cost-Saving F-T1 Delivery Equipment to Telcos, Units to be Unveiled at SUPERCOMM"
11,ADTRAN INC,20 March 1995,"ADTRAN Introduces Second Generation ISDN Range Extension Equipment Allowing ISDN Service without Switch Upgrades, Units to be Shown at..."
12,ADTRAN INC,20 March 1995,ADTRAN Presents Industry's First Cost-Effective D4 Channel Bank Replacement ACT 2300 to be Unveiled at SUPERCOMM
13,ADTRAN INC,20 March 1995,New T1 DSU/CSU with HDSL Network Interface to be Featured by ADTRAN at SUPERCOMM
14,ADTRAN INC,20 March 1995,ADTRAN Introduces New DDS Mid-span Loop Repeaters
15,ADTRAN INC,28 March 1995,ADTRAN Presents Industry's First Intelligent Channel Bank ACT 2300 to be Offered at INTEROP
16,ADTRAN INC,28 March 1995,ADTRAN Announces Industry's First Synchronous Data Compression DSU/CSU Products Based on TR30.1 Recommendation
17,ADTRAN INC,28 March 1995,Advanced SNMP Proxy Agent for Managing ADTRAN WAN Products with Industry Standard SNMP to be Announced at INTEROP
18,ADTRAN INC,28 March 1995,ADTRAN Offers ISDN Service Unit Perfect for Work-at-Home Applications at Interop
19,ADTRAN INC,17 April 1995,"ADTRAN, Inc. reports first quarter 1995 results"
20,ADTRAN INC,20 April 1995,"ADTRAN, Inc. announces stock split"
21,ADTRAN INC,18 July 1995,"ADTRAN, Inc. reports second quarter 1995 results"
22,ADTRAN INC,17 August 1995,ADTRAN Announces a Family of ISDN Service Units Offering High-Speed Internet Access
23,ADTRAN INC,17 October 1995,"ADTRAN, Inc. reports third quarter 1995 results"
24,ADTRAN INC,13 November 1995,ADTRAN Announces New Directors
25,ADTRAN INC,13 November 1995,"ADTRAN, Inc. Announces New Vice President of Marketing"
26,ADTRAN INC,18 January 1996,"Adtran, Inc. Reports Results For Fourth Quarter And Year Ended December 31, 1995"
27,ADTRAN INC,30 January 1996,Adtran Announces ISDN Modem Supporting Multilink Ppp And Remote Configuration
28,ADTRAN INC,30 January 1996,"Adtran Announces New Application Modules, Select And Connect Multiple Applications To A T1 Line"
29,ADTRAN INC,30 January 1996,"Adtran Announces A T1 Dsu/Csu Equipped With Pbx Interface, Offering An Even Greater Variety Of Application Combinations Using Option..."
30,ADTRAN INC,28 February 1996,Adtran Forms New Extended Range Product Group; Names New Vice President Of Engineering And Vice President Of Sales & Marketing For Extended...
31,ADTRAN INC,28 February 1996,"Adtran Launches Total Reach Technology For Faster, Less Costly Deployment Of ISDN Digital Services"
32,ADTRAN INC,5 March 1996,Synopsis Of Adtran Presentation At Raymond James Seventeenth Annual Institutional Investors Conference
33,ADTRAN INC,2 April 1996,ADTRAN Announces Industry's First Compressing Dds Dsu/Csu For Use With Frame Relay Circuits
34,ADTRAN INC,2 April 1996,ADTRAN Sets New Standard For ISDN Modems; New Terminal Adapters Make ISDN Simple To Use
35,ADTRAN INC,2 April 1996,ADTRAN Adds New Features To Industry Proven ISDN Service Unit; New Remote Configuration Capabilities Ease Network Management
36,ADTRAN INC,16 April 1996,"ADTRAN, Inc. Reports First Quarter 1996 Results"
37,ADTRAN INC,5 June 1996,ADTRAN Introduces New ISDN Remote Access Devices For High Speed Connectivity
38,ADTRAN INC,21 June 1996,"ADTRAN, Inc. Announces International Vice President"
39,ADTRAN INC,25 June 1996,ADTRAN Announces Upcoming Wireless Equipment For T1 Deployment
40,ADTRAN INC,25 June 1996,"ADTRAN Introduces Low Voltage HDSL Delivery System; Units Provide Safe, Effective Delivery Of HDSL Service"
41,ADTRAN INC,25 June 1996,ADTRAN Introduces Compact ISDN Channel Bank For Use With T1 Carrier Systems; Industry's First Bank To Provide Service For Up To 10 ISDN...
42,ADTRAN INC,15 July 1996,"ADTRAN, Inc. Reports Second Quarter 1996 Results"
43,ADTRAN INC,17 July 1996,"ADTRAN, Inc. Announces CPE Sales Vice President"
44,ADTRAN INC,14 August 1996,"ADTRAN, Inc. Announces New Chief Financial Officer"
45,ADTRAN INC,29 August 1996,ADTRAN Announces New Vice President of Engineering
46,ADTRAN INC,9 September 1996,ADTRAN Announces New Vice President Of Technology
47,ADTRAN INC,18 September 1996,ADTRAN To License Instant ISDN Technology; Patent Pending Technology Makes ISDN Configuration Easier than Ever Before
48,ADTRAN INC,1 October 1996,BOCA RESEARCH FIRST TO LICENSE ADTRAN'S INSTANT ISDN TECHNOLOGY: Patent Pending Technology Makes ISDN Configuration Easier than Ever Before
49,ADTRAN INC,7 October 1996,"ADTRAN, Inc. Reports Third Quarter 1996 Results"
50,ADTRAN INC,6 November 1996,ADTRAN Announces New Vice President Of Quality
